"ann"
"PSAC"	"Encodes the PsaC subunit of photosystem I."
"ATHB.8..ATHB8..HB.8"	"member of homeodomain-leucine zipper family, acting as a differentiation-promoting transcription factor of the vascular meristems., member of homeodomain-leucine zipper family, acting as a differentiation-promoting transcription factor of the vascular meristems., member of homeodomain-leucine zipper family, acting as a differentiation-promoting transcription factor of the vascular meristems."
"ATCBL10..CBL10..SCABP8..ATCBL10..CBL10..SCABP8"	"Encodes a member of the calcineurin B-like calcium sensor gene family. Mediates salt tolerance by regulating ion homeostasis in Arabidopsis., Encodes a member of the calcineurin B-like calcium sensor gene family. Mediates salt tolerance by regulating ion homeostasis in Arabidopsis., Encodes a member of the calcineurin B-like calcium sensor gene family. Mediates salt tolerance by regulating ion homeostasis in Arabidopsis., Encodes a member of the calcineurin B-like calcium sensor gene family. Mediates salt tolerance by regulating ion homeostasis in Arabidopsis. In the shoot SCABP recruits the protein kinase SOS2 to the plasma membrane. SCABP is partially redundant with SOS3 but neither protein can fully complement the loss of the other protein., Encodes a member of the calcineurin B-like calcium sensor gene family. Mediates salt tolerance by regulating ion homeostasis in Arabidopsis. In the shoot SCABP recruits the protein kinase SOS2 to the plasma membrane. SCABP is partially redundant with SOS3 but neither protein can fully complement the loss of the other protein., Encodes a member of the calcineurin B-like calcium sensor gene family. Mediates salt tolerance by regulating ion homeostasis in Arabidopsis. In the shoot SCABP recruits the protein kinase SOS2 to the plasma membrane. SCABP is partially redundant with SOS3 but neither protein can fully complement the loss of the other protein."
"IAA29"	"Auxin inducible protein."
"CYP82C4"	"member of CYP82C"
"CYP82C3"	"member of CYP82C"
"GDU1"	"Glutamine dumper1 is a putative transmembrane protein. It is involved in glutamine secretion"
"CDEF1"	"Member of the GDSL lipase/esterase family of proteins that functions as cutinase. Expressed in pollen and at the zone of lateral root emergence."
"ATMND1"	"A homolog of yeast, mouse and human mnd1delta protein. Null mutants exhibit normal vegetative and flower development; however, during prophase I, chromosomes become fragmented resulting in random distribution of the fragments between polyads. Both male and female meiosis are defective and strong accumulation of AtRAD51 was observed in the inflorescence nuclei of mutant plants. Similarly to its yeast and animal homologues, AtMnd1 might play a role in DSB repair during meiosis."
"PSAE.1"	"mutant has Decreased effective quantum yield of photosystem II; Pale green plants; Reduced growth rate; Subunit E of Photosystem I"
"AtMYB41..MYB41"	"Member of the R2R3 factor gene family. Expression is induced in response to dessication, ABA and salt treatment. Overexpression of Myb41 results in abnormal cuticle development and decreased cell expansion., Member of the R2R3 factor gene family. Expression is induced in response to dessication, ABA and salt treatment. Overexpression of Myb41 results in abnormal cuticle development and decreased cell expansion."
"HSP21"	"chloroplast located small heat shock protein."
"ATOPT6..OPT6"	"oligopeptide transporter, oligopeptide transporter"
"FAD4..FADA"	"Encodes an unusual palmitate desaturase that is highly substrate specific. It introduces a delta-3 trans double bond at palmitate at the sn-2 position of phosphatidylglycerol., Encodes an unusual palmitate desaturase that is highly substrate specific. It introduces a delta-3 trans double bond at palmitate at the sn-2 position of phosphatidylglycerol."
"CBL7"	"Encodes calcineurin B-like protein 7 (CBL7)."
"TAR2"	"Encodes a protein with similarity to the TAA1 trytophan aminotransferase involved in IAA biosynthesis. Double mutant analyses suggest that this protein is involved in regulating many aspects of plant growth and development from embryogenesis to flower formation and plays a role in ethylene-mediated signaling."
"ATTLP1..TLP1"	"Root-specific expression activated in response to rhizobacteria and ACC. Role in induced systemic resistance., Root-specific expression activated in response to rhizobacteria and ACC. Role in induced systemic resistance."
"CRK18"	"Encodes a cysteine-rich receptor-like protein kinase."
"TET5"	"Member of TETRASPANIN family"
"APT3"	"Encodes an adenine phosphoribosyltransferase (APT; EC 2.4.2.7), which is a constitutively expressed enzyme involved in the one-step salvage of adenine to AMP. APT3 has higher affinity for zeatin, isopentenyladenine and benzyladenine than APT1 but lower Vmax than APT1."
"ENDO3"	"Encodes a putative endonuclease but no demonstrable endonuclease activity, either towards single stranded DNA or mismatches, has been seen in vitro. Activated by AGAMOUS in a cal-1, ap1-1 background. Expressed in the floral meristem and during stamen development."
"ARK3..RK3"	"encodes a putative receptor-like serine/threonine protein kinases that is similar to Brassica self-incompatibility (S) locus. Expressed in root. Shoot expression limited to limited to the root-hypocotyl transition zone and at the base of lateral roots as well as in axillary buds, and pedicels., encodes a putative receptor-like serine/threonine protein kinases that is similar to Brassica self-incompatibility (S) locus. Expressed in root. Shoot expression limited to limited to the root-hypocotyl transition zone and at the base of lateral roots as well as in axillary buds, and pedicels."
"ATGA2OX8..GA2OX8"	"Encodes a protein with gibberellin 2-oxidase activity which acts specifically on C-20 gibberellins., Encodes a protein with gibberellin 2-oxidase activity which acts specifically on C-20 gibberellins."
"ATRP1..RP1"	"Encodes a PPDK regulatory protein that has both protein kinase and protein phosphatase activities towards PPDK (pyruvate orthophosphate dikinase)., Encodes a PPDK regulatory protein that has both protein kinase and protein phosphatase activities towards PPDK (pyruvate orthophosphate dikinase)."
"GSO1"	"Encodes GASSHO1 (GSO1), a putative leucine-rich repeat transmembrane-type receptor kinase.  GSO1 and a homolog GSO2 (At5g44700) are required for the formation of a normal epidermal surface during embryogenesis."
"BAM3"	"Encodes a CLAVATA1-related receptor kinase-like protein required for both shoot and flower meristem function.  It has a broad expression pattern and is involved in vascular strand development in the leaf, control of leaf shape, size and symmetry, male gametophyte development and ovule specification and function."
"ATIRT1..IRT1"	"Fe(II) transport protein (IRT1), Fe(II) transport protein (IRT1)"
"ATCESA8..CESA8..IRX1..LEW2"	"Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling., Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling., Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling., Encodes a member of the cellulose synthase family involved in secondary cell wall biosynthesis. Mutants have abnormal xylem formation, reduced cellulose content, and enhanced drought and osmotic stress tolerance.  Mediates resistance towards bacterial pathogens via ABA. Confers resistance towards bacterial and fungal pathogens, independent of salicylic acid, ethylene and jasmonate signaling."
"CLE2"	"CLE2, putative ligand, member of large gene family homologous to Clavata3"
"ATNCED2..NCED2"	"Encodes 9-<i>cis</i>-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene declines during the first 12h of imbibition., Encodes 9-<i>cis</i>-epoxycarotenoid dioxygenase, a key enzyme in the biosynthesis of abscisic acid. The expression of this gene declines during the first 12h of imbibition."
"X5PTASE2..AT5PTASE2..IP5PII"	"Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays., Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays., Encodes an inositol polyphosphate 5-phosphatase that appears to have Type I activity. It can dephosphorylate IP3(inositol(1,4,5)P3) and IP4 (inositol(1,3,4,5)P4), but it does not appear to be active against phosphatidylinositol 4,5 bisphosphate. Overexpression of this gene renders plants insensitive to ABA in germination and growth assays."
"AtMYB79..MYB79"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"PSAL"	"Encodes subunit L of photosystem I reaction center."
"EARLI1..pEARLI"	"a putative lipid transfer protein, vernalization-responsive and cold-induced, a putative lipid transfer protein, vernalization-responsive and cold-induced"
"AZI1"	"Encodes AZI1 (AZELAIC ACID INDUCED 1).  Involved in the priming of salicylic acid induction and systemic immunity triggered by pathogen or azelaic acid."
"PGRL1B"	"Encodes PGRL1B, a transmembrane protein present in thylakoids.  PGRL1B has a highly homologous isoform PGRL1A encoded by At4g22890. Plants lacking PGRL1 show perturbation of cyclic electron flow, similar to PGR5-deficient plants. PGRL1 and PGR5 interact physically and associate with PSI (photosystem I)."
"ATOSM34..OSM34"	"osmotin-like protein, osmotin-like protein"
"CRK32"	"Encodes a cysteine-rich receptor-like protein kinase."
"LHCB5"	"photosystem II encoding the light-harvesting chlorophyll a/b binding protein CP26 of the antenna system of the photosynthetic apparatus"
"ATSPS4F"	"Encodes a protein with putative sucrose-phosphate synthase activity."
"GASA3"	"One of GASA gene family which is related to a GA-stimulated transcript (GAST) from tomato."
"SULTR1.1"	"Encodes a sulfate transporter. Contains STAS domain. Expressed in roots and guard cells. Up-regulated by sulfur deficiency."
"ACS11"	"encodes an aminotransferase that belongs to ACC synthase gene family structurally"
"PSBQ..PSBQ.2..PSII.Q"	"Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II., Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II., Encodes the PsbQ subunit of the oxygen evolving complex of photosystem II."
"CRK25"	"Encodes a cysteine-rich receptor-like protein kinase."
"ATCPK23..CPK23"	"member of Calcium Dependent Protein Kinase, member of Calcium Dependent Protein Kinase"
"XTH9"	"encodes a member of xyloglucan endotransglucosylase/hydrolases (XTHs) that catalyze the cleavage and molecular grafting of xyloglucan chains function in loosening and rearrangement of the cell wall. Gene is expressed in shoot apex region, flower buds, flower stalks and internodes bearing flowers."
"PETC..PGR1"	"Encodes the Rieske FeS center of cytochrome b6f complex. Gene is expressed in shoot but not in root. Mutant has reduced electron transport at saturating light intensities and Q-cycle activity is hypersensitive to acidification of the thylakoid lumen., Encodes the Rieske FeS center of cytochrome b6f complex. Gene is expressed in shoot but not in root. Mutant has reduced electron transport at saturating light intensities and Q-cycle activity is hypersensitive to acidification of the thylakoid lumen."
"AOP..AOP1..AOP1.1"	"Encodes a possible 2-oxoglutarate-dependent dioxygenase that is involved in glucosinolate biosynthesis. The gene is expressed in all ecotypes examined but the enzymatic activity has not been determined experimentally.  In Col, there is one copy of this gene (aka AOP1.1) but Ler contains two copies, AOP1.1 and a tightly linked AOP1.2., Encodes a possible 2-oxoglutarate-dependent dioxygenase that is involved in glucosinolate biosynthesis. The gene is expressed in all ecotypes examined but the enzymatic activity has not been determined experimentally.  In Col, there is one copy of this gene (aka AOP1.1) but Ler contains two copies, AOP1.1 and a tightly linked AOP1.2., Encodes a possible 2-oxoglutarate-dependent dioxygenase that is involved in glucosinolate biosynthesis. The gene is expressed in all ecotypes examined but the enzymatic activity has not been determined experimentally.  In Col, there is one copy of this gene (aka AOP1.1) but Ler contains two copies, AOP1.1 and a tightly linked AOP1.2."
"ATCNGC13..CNGC13"	"member of Cyclic nucleotide gated channel family, member of Cyclic nucleotide gated channel family"
"JLO..LBD30"	"Encodes a protein containing a LOB domain that is expressed in embryos, flower primordium and lateral floral organ boundaries. Overexpression is correlated with activation of STM and KNAT1 and down regulation of PIN1 and reduced auxin transport levels. Ectopic expression in plants results in premature termination of the shoot apical meristem and small, lobed leaves., Encodes a protein containing a LOB domain that is expressed in embryos, flower primordium and lateral floral organ boundaries. Overexpression is correlated with activation of STM and KNAT1 and down regulation of PIN1 and reduced auxin transport levels. Ectopic expression in plants results in premature termination of the shoot apical meristem and small, lobed leaves."
"CER60..KCS5"	"Encodes KCS5, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)., Encodes KCS5, a member of the 3-ketoacyl-CoA synthase family involved in the biosynthesis of VLCFA (very long chain fatty acids)."
"ATSOT17..ATST5C..SOT17"	"encodes a desulfoglucosinolate sulfotransferase, involved in the final step of glucosinolate core structure biosynthesis. Has a broad-substrate specificity with preference with methionine-derived desulfoglucosinolates., encodes a desulfoglucosinolate sulfotransferase, involved in the final step of glucosinolate core structure biosynthesis. Has a broad-substrate specificity with preference with methionine-derived desulfoglucosinolates., encodes a desulfoglucosinolate sulfotransferase, involved in the final step of glucosinolate core structure biosynthesis. Has a broad-substrate specificity with preference with methionine-derived desulfoglucosinolates."
"ATCLH1..ATHCOR1..CLH1..CORI1"	"Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation., Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation., Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation., Chlorophyllase is the first enzyme involved in chlorophyll degradation. It catalyzes the hydrolysis of the ester bond to yield chlorophyllide and phytol. AtCLH1 lacks a typical signal sequence for the chloroplast.  Its expression is induced rapidly by methyljasmonate, a known promoter of senescence and chlorophyll degradation."
"AtCLO3..CLO.3..CLO3..RD20"	"Encodes a calcium binding protein whose mRNA is induced upon treatment with NaCl, ABA and in response to dessication.  mRNA expression under drought conditions is apparent particularly in leaves and flowers. Isoform of caleosin with a role as a peroxygenase involved in oxylipin metabolism during biotic and abiotic stress., Encodes a calcium binding protein whose mRNA is induced upon treatment with NaCl, ABA and in response to dessication.  mRNA expression under drought conditions is apparent particularly in leaves and flowers. Isoform of caleosin with a role as a peroxygenase involved in oxylipin metabolism during biotic and abiotic stress., Encodes a calcium binding protein whose mRNA is induced upon treatment with NaCl, ABA and in response to dessication.  mRNA expression under drought conditions is apparent particularly in leaves and flowers. Isoform of caleosin with a role as a peroxygenase involved in oxylipin metabolism during biotic and abiotic stress., Encodes a calcium binding protein whose mRNA is induced upon treatment with NaCl, ABA and in response to dessication.  mRNA expression under drought conditions is apparent particularly in leaves and flowers. Isoform of caleosin with a role as a peroxygenase involved in oxylipin metabolism during biotic and abiotic stress."
"ATMYB52..BW52..MYB52"	"putative transcription factor: R2R3-MYB transcription family, putative transcription factor: R2R3-MYB transcription family, putative transcription factor: R2R3-MYB transcription family"
"ATWRKY71..WRKY71"	"member of WRKY Transcription Factor; Group II-c, member of WRKY Transcription Factor; Group II-c"
"FMO1"	"FMO1 is required for full expression of TIR-NB-LRRconditioned resistance to avirulent pathogens and for basal resistance to invasive virulent pathogens. Functions in an EDS1-regulated but SA-independent mechanism that promotes resistance and cell death at pathogen infection sites."
"ATNDI1..NDA1"	"Internal NAD(P)H dehydrogenase in mitochondria. The predicted protein sequence has high homology with other designated NAD(P)H DHs from microorganisms; the capacity for matrix NAD(P)H oxidation via the rotenone-insensitive pathway is significantly reduced in the Atndi1 mutant plant line; the in vitro translation product of AtNDI1 is imported into isolated mitochondria and located on the inside of the inner membrane., Internal NAD(P)H dehydrogenase in mitochondria. The predicted protein sequence has high homology with other designated NAD(P)H DHs from microorganisms; the capacity for matrix NAD(P)H oxidation via the rotenone-insensitive pathway is significantly reduced in the Atndi1 mutant plant line; the in vitro translation product of AtNDI1 is imported into isolated mitochondria and located on the inside of the inner membrane."
"ATLAC1..LAC1"	"putative laccase, a member of laccase family of genes (with 17 members in Arabidopsis)., putative laccase, a member of laccase family of genes (with 17 members in Arabidopsis)."
"AtcwINV3..ATFRUCT5..FRUCT5"	"Encodes a protein with fructan exohydrolase (FEH) activity acting on levan-type fructans (6-FEH, levanase). The enzyme does not have invertase activity., Encodes a protein with fructan exohydrolase (FEH) activity acting on levan-type fructans (6-FEH, levanase). The enzyme does not have invertase activity., Encodes a protein with fructan exohydrolase (FEH) activity acting on levan-type fructans (6-FEH, levanase). The enzyme does not have invertase activity."
"AtMYB83..MYB83"	"Encodes a putative R2R3-type MYB transcription factor (MYB83)., Encodes a putative R2R3-type MYB transcription factor (MYB83)."
"ATEXO70G2..EXO70G2"	"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree., A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree."
"TET6"	"Member of TETRASPANIN family"
"ATWRKY67..WRKY67"	"member of WRKY Transcription Factor; Group III, member of WRKY Transcription Factor; Group III"
"ATMES11..MES11"	"Encodes a protein predicted to act as a carboxylesterase. It has similarity to the SABP2 methyl salicylate esterase from tobacco. This protein does not act on methyl IAA, methyl JA, MeSA, MeGA4, or MEGA9 in vitro., Encodes a protein predicted to act as a carboxylesterase. It has similarity to the SABP2 methyl salicylate esterase from tobacco. This protein does not act on methyl IAA, methyl JA, MeSA, MeGA4, or MEGA9 in vitro."
"ATCLC.B..CLC.B"	"member of Anion channel protein family, member of Anion channel protein family"
"PCC1"	"Encodes a member of a novel 6 member Arabidopsis gene family.  Expression of PCC1 is regulated by the circadian clock and is upregulated in response to both virulent and avirulent strains of Pseudomonas syringae pv. tomato."
"ABCE1..ATRLI1..RLI1"	"member of RLI subfamily, member of RLI subfamily, member of RLI subfamily"
"CYP90D1"	"Encodes a cytochrome P-450 gene that is involved in brassinosteroid biosynthesis, most likely in the conversion step of teasterone (TE) to 3-dehydroteasterone (3DT), and/or 6-deoxoteasterone (6-deoxoTE) to 6-deoxo-3-dehydroteasterone (6-deoxo3DT); or the conversion of cathasterone (CT) to TE, and/or 6-deoxocathasterone (6-deoxoCT) to 6-deoxoTE. Recently, CYP90D1 was shown to catalyse the C-23 hydroxylation of several brassinosteroids (the enzyme has a broad specificity for 22-hydroxylated substrates). Member of the CYP90C CYP450 family. Similar to Cytochrome P450 90C1 (ROT3)."
"CYP705A32"	"member of CYP705A"
"CWLP"	"cell wall-plasma membrane linker protein homolog (CWLP)"
"CYP71B34"	"putative cytochrome P450"
"CYP71B37"	"putative cytochrome P450"
"PSBTN"	"Encodes photosystem II 5 kD protein subunit PSII-T. This is a nuclear-encoded gene (PsbTn) which also has a plastid-encoded paralog (PsbTc)."
"ESM1"	"A semidominant QTL which has an epistatic effect on the Epithiospecifier gene. Represses nitrile formation and favors isothiocyanate production during glucosinolate hydrolysis. The functional allele deters the insect herbivory T. ni."
"ATMT3..MT3"	"metallothionein, binds to and detoxifies excess copper and other metals, limiting oxidative damage, metallothionein, binds to and detoxifies excess copper and other metals, limiting oxidative damage"
"CYP705A23"	"member of CYP705A"
"CYP705A20"	"member of CYP705A"
"ATMYB71..MYB305"	"snapdragon myb protein 305 homolog (myb), snapdragon myb protein 305 homolog (myb)"
"DEG11..DegP11"	"Encodes a putative DegP protease., Encodes a putative DegP protease."
"MEL4..NPY4"	"A member of the NPY gene family (NPY1/AT4G31820, NPY2/AT2G14820, NPY3/AT5G67440, NPY4/AT2G23050, NPY5/AT4G37590).  Involved in auxin-mediated organogenesis., A member of the NPY gene family (NPY1/AT4G31820, NPY2/AT2G14820, NPY3/AT5G67440, NPY4/AT2G23050, NPY5/AT4G37590).  Involved in auxin-mediated organogenesis."
"ALMT1..ATALMT1"	"Encodes a Al-activated malate efflux transporter. Is essential for aluminum tolerance but does not represent the major Al tolerance QTL. Staurosporine and calyculin A both block all changes  in AtALMT1 gene expression (as a result malate release  is totally inhibited)., Encodes a Al-activated malate efflux transporter. Is essential for aluminum tolerance but does not represent the major Al tolerance QTL. Staurosporine and calyculin A both block all changes  in AtALMT1 gene expression (as a result malate release  is totally inhibited)."
"CYP71B23"	"putative cytochrome P450"
"ATAIG1..BHLH32..TMO5"	"Encodes a basic helixloophelix transcription factor that  is expressed in the hypophysis-adjacent embryo cells, and is  required and partially sufficient for MP-dependent root initiation. Involved in response to phosphate starvation. Negative regulator of root hair development, anthocyanin formation  and Pi content., Encodes a basic helixloophelix transcription factor that  is expressed in the hypophysis-adjacent embryo cells, and is  required and partially sufficient for MP-dependent root initiation. Involved in response to phosphate starvation. Negative regulator of root hair development, anthocyanin formation  and Pi content., Encodes a basic helixloophelix transcription factor that  is expressed in the hypophysis-adjacent embryo cells, and is  required and partially sufficient for MP-dependent root initiation. Involved in response to phosphate starvation. Negative regulator of root hair development, anthocyanin formation  and Pi content."
"MEF22"	"Encodes a pentatricopeptide repeat protein (PPR) protein involved in mitochondrial mRNA editing."
"GUX1..PGSIP1"	"Plants expressing an RNAi construct specifically targeting PGSIP1 was shown to have a dramatically reduced amount of starch., Plants expressing an RNAi construct specifically targeting PGSIP1 was shown to have a dramatically reduced amount of starch."
"ATMYB15..ATY19..MYB15"	"Member of the R2R3 factor gene family., Member of the R2R3 factor gene family., Member of the R2R3 factor gene family."
"NDF4..PnsB3"	"encodes a novel subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in cyclic electron flow around photosystem I to produce ATP. Contains a 4Fe-4S cluster., encodes a novel subunit of the chloroplast NAD(P)H dehydrogenase complex, involved in cyclic electron flow around photosystem I to produce ATP. Contains a 4Fe-4S cluster."
"CYP72A11"	"putative cytochrome P450"
"PIFI"	"Encodes a chloroplast-targeted protein localized in the stroma that is a novel component essential for NDH-mediated non-photochemical reduction of the plastoquinone pool in chlororespiratory electron transport."
"CYP71B15..PAD3"	"Mutations in pad3 are defective in biosynthesis of the indole derived phytoalexin camalexin. Encodes a cytochrome P450 enzyme that catalyzes the conversion of dihydrocamalexic acid to camalexin., Mutations in pad3 are defective in biosynthesis of the indole derived phytoalexin camalexin. Encodes a cytochrome P450 enzyme that catalyzes the conversion of dihydrocamalexic acid to camalexin."
"ATPHO1..PHO1"	"mutant is deficient in the transfer of phosphate from root epidermal and cortical cells to the xylem. encodes protein with the mainly hydrophilic N-terminal and the C-terminal containing 6 potential membrane-spanning domains., mutant is deficient in the transfer of phosphate from root epidermal and cortical cells to the xylem. encodes protein with the mainly hydrophilic N-terminal and the C-terminal containing 6 potential membrane-spanning domains."
"IAA31"	"Encodes a member of the Aux/IAA family of proteins implicated in auxin signaling. IAA31 shares several residues with the conserved domain II region, believed to act as a degron in many of the rapidly degraded Aux/IAA family members. An IAA31 fusion protein is quite long-lived, but can be degraded more rapidly in the presence of auxin. Unlike many other family members, IAA31 transcript levels do not rise in response to auxin. Nevertheless, overexpression of IAA31 leads to defects in auxin-related processes such as  gravitropism, root development, shoot development, and cotyledon vascular development."
"ATWNK2..WNK2..ZIK3"	"Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases.  Its transcription is under the control of circadian rhythms., Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases.  Its transcription is under the control of circadian rhythms., Encodes a member of the WNK family (9 members in all) of protein kinases, the structural design of which is clearly distinct from those of other known protein kinases, such as receptor-like kinases and mitogen-activated protein kinases.  Its transcription is under the control of circadian rhythms."
"THA2"	"Encodes a threonine aldolase, involved in threonine degradation to glycine. Expressed in vascular tissue through out the plant."
"AtMYB107..MYB107"	"Encodes a putative transcription factor (MYB107)., Encodes a putative transcription factor (MYB107)."
"SKOR"	"Encodes SKOR, a member of Shaker family potassium ion (K+) channel.  This family includes five groups based on phylogenetic analysis (FEBS Letters (2007) 581: 2357): I (inward rectifying channel): AKT1 (AT2G26650), AKT5 (AT4G32500) and SPIK (also known as AKT6, AT2G25600); II (inward rectifying channel): KAT1 (AT5G46240) and KAT2 (AT4G18290); III (weakly inward rectifying channel): AKT2 (AT4G22200); IV (regulatory subunit involved in inwardly rectifying conductance formation): KAT3 (also known as AtKC1, AT4G32650); V (outward rectifying channel): SKOR (AT3G02850) and GORK (AT5G37500).  Mediates the delivery of K+ from stelar cells to the xylem in the roots towards the shoot. mRNA accumulation is modulated by abscisic acid. K+ gating activity is modulated by external and internal K+."
"QRT2"	"Required for pollen separation during normal development. In qrt mutants, the outer walls of the four meiotic products of the pollen mother cell are fused, and pollen grains are released in tetrads.May be required for cell type-specific pectin degradation."
"APX1B..APX2"	"Encodes a cytosolic ascorbate peroxidase APX2.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms., Encodes a cytosolic ascorbate peroxidase APX2.  Ascorbate peroxidases are enzymes that scavenge hydrogen peroxide in plant cells.  Eight types of APX have been described for Arabidopsis: three cytosolic (APX1, APX2, APX6), two chloroplastic types (stromal sAPX, thylakoid tAPX), and three microsomal (APX3, APX4, APX5) isoforms."
"ATEXO70H4..EXO70H4"	"A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree., A member of EXO70 gene family, putative exocyst subunits, conserved in land plants. Arabidopsis thaliana contains 23 putative EXO70 genes, which can be classified into eight clusters on the phylogenetic tree."
"AGP27..ATAGP27"	"Encodes an arabinogalactan-protein (AGP27)., Encodes an arabinogalactan-protein (AGP27)."
"DML2"	"Encodes a protein with DNA glycosylase activity that is involved in maintaining methylation marks."
"ACR6"	"Member of a small family of ACT domain containing proteins in Arabidopsis. ACT domains are involved in amino acid binding."
"PYD4"	"Encodes a protein that is predicted to have beta-alanine aminotransferase activity."
"LHCB4.2"	"Lhcb4.2 protein (Lhcb4.2, protein involved in the light harvesting complex of photosystem II"
"AGD11..AtCML3..CML3"	"A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes., A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes., A member of ARF GAP domain (AGD), A thaliana has 15 members, grouped into four classes."
"ATGPAT5..GPAT5"	"Encodes a protein with glycerol-3-phosphate acyltransferase activity, involved in the biosynthesis of suberin polyester., Encodes a protein with glycerol-3-phosphate acyltransferase activity, involved in the biosynthesis of suberin polyester."
"AHP4"	"Encodes AHP4, a histidine-containing phosphotransmitter involved in Histidine (His)-to-Aspartate (Asp) phosphorelay signal transduction. AHP4 is one of the six Arabidopsis thaliana histidine phosphotransfer proteins (AHPs).  AHPs function as redundant positive regulators of cytokinin signaling.  Members of the AHP gene family include: AT3G21510 (AHP1), AT3G29350 (AHP2), AT5G39340 (AHP3), AT3G16360 (AHP4), AT1G03430 (AHP5) and AT1G80100 (AHP6)."
"JAL35..JR1"	"JA-responsive gene, JA-responsive gene"
"ATST4B..ST4B"	"Encodes a sulfotransferase. Unlike the related ST4A protein (At2g14920), in vitro experiements show that this enzyme does not act brassinosteroids. ST4B is expressed in the roots and transcript levels rise in response to cytokinin treatment., Encodes a sulfotransferase. Unlike the related ST4A protein (At2g14920), in vitro experiements show that this enzyme does not act brassinosteroids. ST4B is expressed in the roots and transcript levels rise in response to cytokinin treatment."
"CYP86A4"	"Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed significantly at highest level in mature stems and flowers."
"ATGPAT4..GPAT4"	"Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8., Encodes a protein with glycerol-3-phosphate acyltransferase activity. Involved in cutin assembly. Is functional redundant of GPAT8."
"GLP4"	"Encodes a germin-like protein with possible oxalate oxidase activity (based on GenBank record)."
